rho_pol, ne, Te, Ti, dn_dR, dTe_dR, dTi_dR, D, chi_e, chi_i, Gamma, Qe, Qi
9.665782347909480654e-01,1.299362443984276890e+19,1.165576960959548529e+02,1.942684595089492063e+02,-1.231250961352005878e+20,-3.973854732527157466e+03,-4.747708896547717814e+03,-1.946779508011115545e-01,3.585869926057291268e-01,3.661124502476962861e-01,-2.396974140779071078e+19,2.294828518975451516e+03,2.499217771212811385e+03
9.678221534802563530e-01,1.288297924285348045e+19,1.130222005914687031e+02,1.903212238588504590e+02,-1.215404037139873300e+20,-3.811358262975094476e+03,-4.857638684465796359e+03,-1.338063035879296092e-01,3.973073811312299308e-01,4.063691227397024930e-01,-1.626287215755331584e+19,2.683566162535496915e+03,3.330265459693941921e+03
9.690660721695647517e-01,1.277438536045961830e+19,1.096826269729298957e+02,1.855060710305924943e+02,-1.199286912364682772e+20,-3.657795673469854592e+03,-5.330247958517088591e+03,-1.078064908240613379e-01,4.370672847443913822e-01,4.439939615559674868e-01,-1.292909135132600320e+19,2.930907201638382958e+03,4.266798239518156151e+03
9.703099908588730393e-01,1.266630077637659034e+19,1.064135604984110586e+02,1.806909182023349558e+02,-1.214833364615228129e+20,-3.567034682457136114e+03,-5.321706679845158760e+03,-8.629840275603127553e-02,4.778219891704141853e-01,4.816188003722290389e-01,-1.048381789810295603e+19,3.190400432289176024e+03,4.745550669794335590e+03
9.715539095481814380e-01,1.255454579907818701e+19,1.032276236542476511e+02,1.758757653740769911e+02,-1.241073928394500997e+20,-3.437452463786004046e+03,-4.988120099746516644e+03,-6.415986905258878881e-02,5.185766935964406521e-01,5.216261296750206444e-01,-7.962714073037314048e+18,3.387678669379463372e+03,4.896580954280525475e+03
9.727978282374897256e-01,1.244135161010120294e+19,1.001830528054467493e+02,1.716497689843263288e+02,-1.303488483221627372e+20,-3.304985794797942617e+03,-4.554906608977017640e+03,-4.094051503172966427e-02,5.582658900409164238e-01,5.621991593364381590e-01,-5.336548984102153216e+18,3.548927093149714892e+03,4.883752670340789336e+03
9.740417469267981243e-01,1.231790334858062234e+19,9.722757112284639902e+01,1.676065380229319999e+02,-1.370822116336542843e+20,-3.229043188579046273e+03,-4.896759715278039948e+03,-3.144924155529340432e-02,5.978581722353304428e-01,5.823547864292898391e-01,-4.311131586600645120e+18,3.708805030460153830e+03,5.453609506935592435e+03
9.752856656161064119e-01,1.219208368189245440e+19,9.431141639017856448e+01,1.627455856142373420e+02,-1.417818182593224212e+20,-3.195717327717267381e+03,-5.337834296014678330e+03,-2.195796807885799784e-02,6.352784248289956581e-01,6.015326672288560106e-01,-3.113240639500647936e+18,3.894715856245507439e+03,6.149651729979103038e+03
9.765295843054148106e-01,1.205967327519997747e+19,9.140714696570336173e+01,1.578846332055422579e+02,-1.513424232519058063e+20,-3.171092525136589757e+03,-5.329211776519544401e+03,-1.345575068409782596e-02,6.715119392295854084e-01,6.186671952358683280e-01,-2.036425915204854272e+18,4.069235701746527866e+03,6.292426079177175779e+03
9.777735029947230982e-01,1.191599470374922650e+19,8.852649715834272115e+01,1.530236807968476000e+02,-1.658119228006405571e+20,-3.146558419429576134e+03,-5.087274558004351093e+03,-5.142305174925051667e-03,7.077454536301718280e-01,6.352862638038039300e-01,-8.526555086820070400e+17,4.233004400970205097e+03,6.138110798078776497e+03
9.790174216840314969e-01,1.175669786154105446e+19,8.565768201392870651e+01,1.485890464493290324e+02,-1.800958379831670538e+20,-3.070418845733265698e+03,-4.968986427201752122e+03,4.504067107879129402e-05,7.492488924707141340e-01,6.492755415522218909e-01,8.111637401259115000e+15,4.332996487715072362e+03,6.076666794083452260e+03
9.802613403733397845e-01,1.158638522360877670e+19,8.290704936382914525e+01,1.439294948820792683e+02,-1.902796985613157663e+20,-2.948029274954994435e+03,-5.507026865360947340e+03,3.779757040501091538e-03,7.927154592632985608e-01,6.632648193006387416e-01,7.192110303015586560e+17,4.352029354274425714e+03,6.804639697074316246e+03
9.815052590626480722e-01,1.140788378460370125e+19,8.025345803153491886e+01,1.384937577388989780e+02,-1.995069867488352010e+20,-2.714861775364605364e+03,-5.920797609141779503e+03,6.679758065084502074e-03,8.304599781014831983e-01,6.827819355598852002e-01,1.332658403776238848e+18,4.146049451515031251e+03,7.432401147447150834e+03
9.827491777519564708e-01,1.122006041070848819e+19,7.792215510966146041e+01,1.330580205957182329e+02,-2.061435078091836293e+20,-2.667174421963444274e+03,-5.911155517315585712e+03,1.470685690750359910e-02,8.666148474086047271e-01,7.037518767739185943e-01,3.031723071760514560e+18,4.211425802759221369e+03,7.574319389394978316e+03
9.839930964412647585e-01,1.102875590717212672e+19,7.534813654901313384e+01,1.276222834525379426e+02,-2.107640325544672297e+20,-2.990009383491042172e+03,-5.394075485138953809e+03,3.333241274508710883e-02,9.065492804543356931e-01,7.373849031560758549e-01,7.025273724924477440e+18,4.916290784422776596e+03,7.242939529349722761e+03
9.852370151305731572e-01,1.083180140065368064e+19,7.241410865022199062e+01,1.231213232254982444e+02,-2.135543669908670710e+20,-3.021525363086491780e+03,-4.781804700754355508e+03,5.001572169950148361e-02,9.554376568230107392e-01,7.706806699935839777e-01,1.068107578712841421e+19,5.195332793278146710e+03,6.710848212112616238e+03
9.864809338198814448e-01,1.063471288111068160e+19,6.977292395013927262e+01,1.187990651738844576e+02,-2.046059522963442893e+20,-2.723384998945639381e+03,-4.652274248843274108e+03,6.547742836866293770e-02,1.001582335216530506e+00,8.036720276269815333e-01,1.339707158528594944e+19,4.871742085738864262e+03,6.752349234913845976e+03
